x	y	num
6.0287	-5.7992	0
5.3079	-5.0164	0
13.1329	-16.0967	0
6.1672	-6.1018	0
5.3279	-6.3612	0
7.3868	-8.1322	0
8.1669	-7.8206	0
6.4323	-5.6686	0
7.2111	-9.5986	0
6.3498	-5.5749	0
8.6355	-7.8295	0
8.423	-8.399	0
6.1559	-7.9496	0
7.4467	-8.962	0
6.5471	-7.4875	0
7.4555	-6.5706	0
9.3976	-6.8734	0
11.7605	-10.5305	0
11.7908	-11.5845	0
6.7057	-8.0598	0
5.4675	-5.9353	0
4.9664	-4.6165	0
10.9854	-10.7797	0
5.1293	-7.5501	0
5.1058	-5.8731	0
10.0437	-9.459	0
11.0622	-6.826	0
6.8653	-4.5023	0
9.1055	-7.9285	0
9.7188	-8.9777	0
4.6545	-4.885	0
7.4631	-7.5277	0
7.0311	-9.0517	0
10.532	-8.1873	0
9.1951	-7.4193	0
9.5542	-9.3548	0
12.0871	-11.2397	0
8.7937	-9.4773	0
5.1487	-5.7668	0
5.9337	-7.5204	0
5.4888	-6.5603	0
5.4665	-5.5127	0
6.1064	-6.0757	0
9.1444	-8.8425	0
8.871	-8.6627	0
5.6542	-4.8938	0
5.5934	-8.0055	0
9.7195	-10.1147	0
7.2217	-6.7369	0
6.6655	-8.8854	0
7.1757	-6.5817	0
10.2659	-11.4983	0
7.1731	-5.3916	0
9.7853	-10.4579	0
7.5347	-10.3335	0
5.5832	-7.5764	0
8.6465	-9.5951	0
8.7239	-7.1054	0
8.2331	-7.5533	0
7.2253	-6.7283	0
13.1292	-15.7162	0
6.8373	-6.4408	0
5.861	-5.4302	0
6.7995	-6.228	0
5.2152	-8.0058	0
5.1405	-4.6798	0
9.8512	-11.278	0
8.192	-10.5625	0
12.6753	-15.3043	0
12.4687	-13.7516	0
9.4991	-9.7816	0
5.5224	-5.5852	0
7.17	-8.5069	0
8.7379	-7.9923	0
8.3097	-8.151	0
7.7842	-8.2617	0
6.8652	-8.1616	0
5.8439	-5.9154	0
5.2287	-5.4123	0
9.4015	-8.6701	0
9.5093	-7.3009	0
7.7089	-6.3664	0
11.4905	-10.591	0
10.4157	-9.8311	0
11.3533	-14.0813	0
5.9601	-7.8704	0
11.9476	-11.0649	0
7.7446	-9.1164	0
8.8612	-10.3269	0
8.69	-7.382	0
9.7213	-7.2667	0
9.0281	-6.9811	0
6.283	-7.0894	0
10.9745	-8.5543	0
5.1733	-5.9443	0
5.528	-6.0761	0
5.4497	-6.6476	0
8.0625	-9.1172	0
9.8252	-11.2996	0
6.5385	-6.1056	0
9.2788	-6.7904	0
5.1324	-5.9522	0
7.6564	-9.3148	0
9.4963	-8.5636	0
10.629	-10.5379	0
10.4435	-9.5657	0
12.2822	-11.8917	0
5.1349	-7.5256	0
11.1588	-9.6401	0
4.9047	-5.0593	0
12.0391	-13.6104	0
12.9986	-15.6359	0
9.3272	-10.098	0
7.0298	-7.4803	0
9.0698	-6.9867	0
6.9553	-5.274	0
8.1622	-7.107	0
8.3175	-9.213	0
7.3056	-9.1368	0
4.9661	-4.9073	0
7.947	-9.5331	0
11.42	-12.7151	0
6.8885	-7.1036	0
5.3	-7.4537	0
11.4134	-10.0007	0
6.7263	-6.325	0
6.5296	-7.7359	0
5.5945	-7.0713	0
6.0703	-7.5815	0
6.4216	-6.6422	0
12.2167	-12.1399	0
7.4037	-6.0363	0
8.8898	-8.6834	0
7.8657	-7.085	0
10.3718	-8.3367	0
5.0434	-4.8613	0
7.897	-5.7078	0
9.4528	-11.0247	0
9.1618	-6.5668	0
12.6496	-13.6556	0
9.061	-5.8125	0
9.3971	-10.2343	0
7.2665	-7.6997	0
8.6844	-5.8294	0
9.3465	-9.6087	0
11.8077	-12.4365	0
7.008	-9.4984	0
7.7993	-6.5399	0
10.5839	-9.5989	0
6.2149	-7.0902	0
6.6911	-7.8571	0
8.955	-7.6012	0
4.086	-5.4461	0
5.2767	-5.7517	0
5.6522	-6.0936	0
5.4913	-6.3695	0
12.9005	-16.0201	0
6.17	-4.7582	0
7.9157	-12.3091	0
