,gamma
5418,26.439776976214503
5817,26.422083366212462
5487,26.421878191191006
5107,26.400364020608613
5154,26.389459876862908
2011,26.352374402679985
4713,26.181636181265013
1532,26.133408551428854
5058,26.104115588422886
4264,26.042579814916767
5797,25.999696616062618
2045,25.995712564279316
5539,25.988764711261144
4707,25.97367528383277
5328,25.941914345055583
4369,25.864154449440612
2426,25.82783933850917
4533,25.72630823421768
4156,25.661802376218883
5018,25.65397592304837
5919,25.595847007536843
5250,25.572834152260203
1289,25.53497995467502
3244,25.488921356467383
4453,25.47054673028711
3726,25.427630986926097
1647,25.319268356765114
2352,25.29599752658053
5788,25.27034357927742
1013,25.208042188426656
5153,25.19754152269953
5954,25.144385641491017
2226,25.13045426897486
1897,25.11512125989146
5610,25.062730898911134
5761,25.00227405754338
4402,24.9962076683779
4002,24.943119363606357
3451,24.916963660860162
5757,24.881457836630464
2023,24.835164814086486
5800,24.81732747935134
1761,24.802884403328992
2959,24.717751019545858
5416,24.65246932190379
1385,24.639804799606562
4477,24.63559341817229
4794,24.632563750410224
5905,24.565617835418283
1638,24.55695395601006
5982,24.52708061990028
1091,24.524763059954164
4067,24.518505691801174
4342,24.503240747178705
1851,24.380825629271904
5530,24.371744300301312
2196,24.356475692470017
5866,24.309121656272584
4166,24.241673000572387
4476,24.241315976665117
5395,24.241125706425688
3217,24.221691401735434
2430,24.160792210818105
3163,24.158420759659265
2002,24.11012890114529
2469,23.948062931829075
1927,23.940521980366093
5933,23.854951499166894
4990,23.834302568710893
4048,23.774958651609932
5461,23.754241970112258
5902,23.75373470892026
1471,23.74957572241164
1648,23.695254028458876
4582,23.62186418073002
3867,23.617199570521255
3394,23.613205188772906
4583,23.542210492219844
5930,23.50121690129155
5369,23.500927903842832
5934,23.485233731521667
1065,23.48365102718758
1735,23.47446883785284
2894,23.439301438656926
1323,23.415719534208716
1262,23.394291911006214
3008,23.37597387504006
5640,23.37445711099633
4566,23.33218187877686
4651,23.32539510061331
1580,23.32523183947287
2561,23.31211695889232
5213,23.287207206781723
2365,23.258571196781052
1588,23.252793759440436
5678,23.215999699800236
4833,23.169724442983977
1337,23.137813611209598
4443,23.105306260665625
4030,23.085383114884937
4411,23.082748157701438
5040,23.07987449660016
1796,23.02537630372877
3015,22.927516378965425
2163,22.918453594545507
2360,22.811472111602313
2933,22.77334726995962
1318,22.74199427602806
2088,22.736348424349067
5827,22.701002475758248
2865,22.6791318276261
1990,22.63512236495479
3984,22.611136370488016
1980,22.560605835148074
2329,22.558957871453618
1375,22.514717210957222
1157,22.48232452058309
2150,22.444226609808066
2117,22.44334088761084
1487,22.401265236292875
5352,22.38478711723845
2782,22.378537545655472
4748,22.370868567927328
4755,22.351934678250625
4522,22.317435013881276
1107,22.310041448109452
5908,22.29230444055204
5382,22.28268430159846
1447,22.27842781723529
4638,22.18906901882987
1243,22.1864695651461
2330,22.169699338085202
5804,22.15838910442095
2974,22.088894018278936
5774,22.062130643275015
5056,22.054584037766986
3595,22.05049487066005
5597,22.020700709786894
5188,22.018708630574647
1991,22.01268005942863
2932,21.999034831162977
5431,21.986193174435257
5073,21.984404819188274
5185,21.971367330869736
2719,21.95520386254479
5209,21.95242009770804
5500,21.90675277336184
1297,21.905563221659417
4733,21.86159959528939
614,21.843080107320063
5084,21.82996525954904
1183,21.82168200668908
5576,21.734718417935415
4530,21.733753674379404
2239,21.733216869352322
5829,21.72944966660203
1277,21.72039115285035
3804,21.71083126447832
1816,21.701310383515
1084,21.68485482745114
4251,21.66555508845344
1341,21.65631150324433
1778,21.648927179996228
5559,21.639878450622383
3012,21.63891736655525
5221,21.630807884837175
5030,21.595688467453748
4348,21.55969414967745
1548,21.53967895325113
4593,21.51672679788086
3551,21.515215316074272
2748,21.514428216281658
5367,21.49218976403006
5174,21.463801721077
