,gamma
5355,23.11553816721734
1488,23.05938151558014
1157,23.013815707607375
4751,22.934410133968157
4758,22.91754286598288
2151,22.90762349800015
1107,22.896755693173738
4525,22.884155398085774
5911,22.872322638484658
4641,22.86124588931965
5579,22.856948080130014
1448,22.84022356481674
4736,22.838690787932382
5385,22.792329766480968
2332,22.786486372449772
1243,22.756419700896654
2722,22.749265631754508
5191,22.7220891029109
5059,22.68907176843217
5777,22.660947798993416
1183,22.621026515445056
1992,22.610595774654353
5807,22.60378923607519
5076,22.56896933071767
2935,22.553272780457668
3598,22.550318550047052
5503,22.548380248289725
2977,22.53772114427889
1298,22.504096654127256
5087,22.451055775242082
5600,22.408926030517758
5434,22.39486489660009
1779,22.364106190957187
5756,22.3354897582414
3807,22.318909647370987
4254,22.317501604342887
5212,22.311287775221597
5188,22.31082008371062
614,22.274862760795465
3554,22.247685421007674
3015,22.240913398009933
4533,22.23121827908734
1278,22.18983158005773
4351,22.176843264343567
2240,22.17588724171712
2047,22.158205419589237
1817,22.154046946394757
1084,22.15033506349594
1342,22.135728388101285
5832,22.134105811745737
1549,22.077548767226116
4481,22.07387012477286
5301,22.01009780689437
2751,21.997366039995068
5224,21.995761769661623
5370,21.982251665676124
4329,21.97718664438004
5562,21.964656474058184
5033,21.96334309664606
3957,21.961615072248307
4596,21.95630003154644
1028,21.931880387381945
4158,21.8430685416527
5177,21.827329020551712
2042,21.790291604866567
5657,21.752327074165485
1318,21.749019427251607
4826,21.747306200284267
3552,21.72622925457187
3205,21.70214218923747
5879,21.629861925097345
4312,21.61687686783518
4377,21.61255943822543
1570,21.58052792367077
5636,21.569508869456318
2218,21.54607109966146
2140,21.54587720781747
5670,21.530278204203075
5128,21.529517211196236
5179,21.509991590588683
5678,21.506362665710835
4068,21.48879707230122
4828,21.487932419590116
5789,21.46592022582058
1232,21.451135966776956
4143,21.43650973552673
4933,21.40463826231734
5444,21.39710581534087
5847,21.378295462693604
5260,21.36179915432964
5449,21.314617905522567
1752,21.286358724697063
4438,21.27771178382689
1128,21.27146674842663
3919,21.2543190963691
1788,21.25315468912114
1510,21.236073968398454
1251,21.23597763363164
4072,21.214446927684907
3590,21.140520568236596
4049,21.110651854029733
4577,21.096737442339332
